id,name,mask
0,person,0
1,bicycle,1
2,car,1
3,motorcycle,1
4,airplane,1
5,bus,1
6,train,1
7,truck,1
8,boat,1
9,traffic light,1
10,fire hydrant,1
11,stop sign,1
12,parking meter,1
13,bench,1
14,bird,0
15,cat,0
16,dog,0
17,horse,0
18,sheep,0
19,cow,0
20,elephant,0
21,bear,0
22,zebra,0
23,giraffe,0
24,backpack,1
25,umbrella,1
26,handbag,1
27,tie,1
28,suitcase,1
29,frisbee,0
30,skis,1
31,snowboard,1
32,sports ball,1
33,kite,0
34,baseball bat,1
35,baseball glove,1
36,skateboard,1
37,surfboard,1
38,tennis racket,1
39,bottle,1
40,wine glass,1
41,cup,1
42,fork,1
43,knife,1
44,spoon,1
45,bowl,1
46,banana,1
47,apple,1
48,sandwich,1
49,orange,1
50,broccoli,1
51,carrot,1
52,hot dog,1
53,pizza,1
54,donut,1
55,cake,1
56,chair,1
57,couch,1
58,potted plant,1
59,bed,1
60,dining table,1
61,toilet,1
62,tv,1
63,laptop,1
64,mouse,1
65,remote,1
66,keyboard,1
67,cell phone,1
68,microwave,1
69,oven,1
70,toaster,1
71,sink,1
72,refrigerator,1
73,book,1
74,clock,1
75,vase,1
76,scissors,1
77,teddy bear,1
78,hair drier,1
79,toothbrush,1
